Epoch nr. 0, avg train loss: 6239645.68203125, avg validation loss: 44947.17578125
Epoch nr. 1, avg train loss: 85258.425, avg validation loss: 28384.5703125
Epoch nr. 2, avg train loss: 47040.83203125, avg validation loss: 11261.3515625
Epoch nr. 3, avg train loss: 35559.38203125, avg validation loss: 9112.00390625
Epoch nr. 4, avg train loss: 29458.494140625, avg validation loss: 9574.8486328125
Epoch nr. 5, avg train loss: 25818.78623046875, avg validation loss: 9228.505859375
Epoch nr. 6, avg train loss: 24352.28583984375, avg validation loss: 10054.43359375
Epoch nr. 7, avg train loss: 22139.21611328125, avg validation loss: 6919.3017578125
Epoch nr. 8, avg train loss: 20936.338525390624, avg validation loss: 8054.6259765625
Epoch nr. 9, avg train loss: 17526.573779296876, avg validation loss: 6402.2783203125
Epoch nr. 10, avg train loss: 16480.29189453125, avg validation loss: 6613.08544921875
Epoch nr. 11, avg train loss: 15790.926220703124, avg validation loss: 6685.19873046875
Epoch nr. 12, avg train loss: 15508.443798828124, avg validation loss: 7133.72607421875
Epoch nr. 13, avg train loss: 14897.377978515626, avg validation loss: 5224.03564453125
Epoch nr. 14, avg train loss: 14591.178271484376, avg validation loss: 5988.20751953125
Epoch nr. 15, avg train loss: 14706.098779296875, avg validation loss: 5773.302734375
Epoch nr. 16, avg train loss: 14387.414184570312, avg validation loss: 6707.3408203125
Epoch nr. 17, avg train loss: 13857.471215820313, avg validation loss: 6492.8857421875
Epoch nr. 18, avg train loss: 13530.580810546875, avg validation loss: 5343.77978515625
Epoch nr. 19, avg train loss: 13377.120581054687, avg validation loss: 5406.25927734375
Epoch nr. 20, avg train loss: 12820.990283203126, avg validation loss: 5666.93603515625
Epoch nr. 21, avg train loss: 13155.251245117188, avg validation loss: 5259.75
Epoch nr. 22, avg train loss: 12978.049536132812, avg validation loss: 5272.005859375
Epoch nr. 23, avg train loss: 12561.283544921875, avg validation loss: 5270.4970703125
Epoch nr. 24, avg train loss: 12667.059228515625, avg validation loss: 5173.443359375
Epoch nr. 25, avg train loss: 12534.917041015626, avg validation loss: 5350.1689453125
Epoch nr. 26, avg train loss: 12140.7466796875, avg validation loss: 5099.47412109375
Epoch nr. 27, avg train loss: 11268.028125, avg validation loss: 5353.44873046875
Epoch nr. 28, avg train loss: 10757.457641601562, avg validation loss: 5133.30908203125
Epoch nr. 29, avg train loss: 10488.298583984375, avg validation loss: 4931.4140625
Epoch nr. 30, avg train loss: 9169.399731445312, avg validation loss: 5619.78857421875
Epoch nr. 31, avg train loss: 9248.289697265625, avg validation loss: 5751.27392578125
Epoch nr. 32, avg train loss: 8868.808178710937, avg validation loss: 5930.3115234375
Epoch nr. 33, avg train loss: 8891.58662109375, avg validation loss: 4824.41845703125
